uri,label,n_phenomena,n_int31,p_norm,i_norm,reception_index,authors,author_ids
https://sappho-digital.com/expression/bibl_4e970562,Immer waren wir Hand in Hand. Erinna an Sappho,100,196,0.8521,0.5462,0.7756,Johannes Rüber,ec557a00
https://sappho-digital.com/expression/bibl_69a9167e,Vergeßt den Namen des Eisvogels nicht: Sappho an die Abschied nehmenden Mädchen auf Lesbos,83,205,0.8181,0.5508,0.7513,Christine Brückner,db9d367b
https://sappho-digital.com/expression/bibl_cbfea792,Sappho an Phaon,81,194,0.8136,0.5452,0.7465,August von Platen-Hallermünde,d5ea9f29
https://sappho-digital.com/expression/bibl_e745799e,Sappho. Drama in fünf Akten und einem Vor- und Nachspiel mit Berücksichtigung geschichtlicher und legendärer Züge aus Sapphos Leben,73,198,0.7947,0.5472,0.7328,Maria Modena [= Erna Kreis-Weber],55676bb1
https://sappho-digital.com/expression/bibl_8665dcc5,Eine Aegyptische Königstochter. Historischer Roman. Erster Band,65,149,0.7736,0.518,0.7097,Georg Ebers,caa5df32
https://sappho-digital.com/expression/bibl_00e9aff1,Von den plejaden her vierzehn gedichte im hinblick auf Lesbos,50,165,0.726,0.5285,0.6766,Johannes Poethen,547138e4
https://sappho-digital.com/expression/bibl_458b7c88,Sappho und Phaon,49,177,0.7223,0.5357,0.6757,Friedrich Buchholz,cba6134b
https://sappho-digital.com/expression/bibl_b0693a0e,"Faon, Nireus, hernach Saffo, zuletzt noch Anakreon",48,165,0.7186,0.5285,0.671,Christoph Martin Wieland,7ea2d8de
https://sappho-digital.com/expression/bibl_5f1d7d40,Sappho,46,185,0.7109,0.5403,0.6682,Marie Itzerott,156a1461
https://sappho-digital.com/expression/bibl_d85ade6a,Sapho,46,167,0.7109,0.5297,0.6656,Gotthold Friedrich Stäudlin,296dd9b2
https://sappho-digital.com/expression/bibl_f4da59f4,Sappho. Roman,47,132,0.7148,0.5056,0.6625,Siegfried Obermeier,f917bb57
https://sappho-digital.com/expression/bibl_632dac82,Sapho. Ein Melodrama,43,175,0.6987,0.5346,0.6577,J. J. H–b–r [= Johann Joseph Anton Huber],27500efc
https://sappho-digital.com/expression/bibl_e58bccae,Sappho,42,153,0.6944,0.5207,0.651,Carmen Sylva [= Elisabeth zu Wied],9a3d3005
https://sappho-digital.com/expression/bibl_69eddc38,Sapphos Schwärmerey,41,165,0.6901,0.5285,0.6497,Engel Christine Westphalen,6766d110
https://sappho-digital.com/expression/bibl_4110fba1,Sappho,40,153,0.6857,0.5207,0.6444,Agnes Franz,8fab2701
https://sappho-digital.com/expression/bibl_ebc1bb1f,Sappho. Ein griechischer Sommernachtstraum,38,141,0.6764,0.5124,0.6354,Joachim Fernau,a186641f
https://sappho-digital.com/expression/bibl_ba71b2e5,Sappho. Trauerspiel in fünf Aufzügen,37,157,0.6716,0.5234,0.6346,Franz Grillparzer,37fcac67
https://sappho-digital.com/expression/bibl_19d5a7ab,Erinna an Sappho,36,163,0.6667,0.5273,0.6318,Eduard Mörike,c8447c3c
https://sappho-digital.com/expression/bibl_a0bace6b,Die Frau im Brunnen. Roman,36,148,0.6667,0.5173,0.6294,Christa Reinig,19def99f
https://sappho-digital.com/expression/bibl_2660d82e,Sappho träumt eine zweite Fahrt ins Exil,35,165,0.6616,0.5285,0.6284,Klaus Anders,b2e2e732
https://sappho-digital.com/expression/bibl_ec11b447,Sappho. Eine Novelle,36,134,0.6667,0.5071,0.6268,Therese Rak,727e9e25
