Wikidata Link;Wikidata Label;Database
http://www.wikidata.org/entity/Q21070481;Ode an Aphrodite;1
http://www.wikidata.org/entity/Q38199509;Sappho fr. 2 Voigt;2
http://www.wikidata.org/entity/Q119286575;Sappho fr. 3 Voigt;3
http://www.wikidata.org/entity/Q119286634;Sappho fr. 4 Voigt;4
http://www.wikidata.org/entity/Q26708531;Sappho fr. 5 Voigt;5
http://www.wikidata.org/entity/Q119287948;Sappho fr. 6 Voigt;6
http://www.wikidata.org/entity/Q119287976;Sappho fr. 7 Voigt;7
http://www.wikidata.org/entity/Q119288008;Sappho fr. 8 Voigt;8
http://www.wikidata.org/entity/Q119288034;Sappho fr. 9 Voigt;9
http://www.wikidata.org/entity/Q119288057;Sappho fr. 12 Voigt;12
http://www.wikidata.org/entity/Q119288089;Sappho fr. 15 Voigt;15
http://www.wikidata.org/entity/Q119288114;Sappho fr. 16 Voigt;16
http://www.wikidata.org/entity/Q119288135;Sappho fr. 17 Voigt;17
http://www.wikidata.org/entity/Q119288158;Sappho fr. 18 Voigt;18
http://www.wikidata.org/entity/Q119288181;Sappho fr. 19 Voigt;19
http://www.wikidata.org/entity/Q119288200;Sappho fr. 20 Voigt;20
http://www.wikidata.org/entity/Q119288225;Sappho fr. 21 Voigt;21
http://www.wikidata.org/entity/Q119288245;Sappho fr. 22 Voigt;22
http://www.wikidata.org/entity/Q119288274;Sappho fr. 23 Voigt;23
http://www.wikidata.org/entity/Q119288293;Sappho fr. 24 Voigt;24
http://www.wikidata.org/entity/Q119288319;Sappho fr. 25 Voigt;25
http://www.wikidata.org/entity/Q119288332;Sappho fr. 26 Voigt;26
http://www.wikidata.org/entity/Q119288358;Sappho fr. 27 Voigt;27
http://www.wikidata.org/entity/Q119288382;Sappho fr. 28 Voigt;28
http://www.wikidata.org/entity/Q119288397;Sappho fr. 29 Voigt;29
http://www.wikidata.org/entity/Q119288426;Sappho fr. 30 Voigt;30
http://www.wikidata.org/entity/Q17079267;Sappho fr. 31 Voigt;31
http://www.wikidata.org/entity/Q119288445;Sappho fr. 32 Voigt;32
http://www.wikidata.org/entity/Q119288482;Sappho fr. 33 Voigt;33
http://www.wikidata.org/entity/Q119288495;Sappho fr. 34 Voigt;34
http://www.wikidata.org/entity/Q119288519;Sappho fr. 35 Voigt;35
http://www.wikidata.org/entity/Q119288543;Sappho fr. 36 Voigt;36
http://www.wikidata.org/entity/Q119288557;Sappho fr. 37 Voigt;37
http://www.wikidata.org/entity/Q119288579;Sappho fr. 38 Voigt;38
http://www.wikidata.org/entity/Q119288596;Sappho fr. 39 Voigt;39
http://www.wikidata.org/entity/Q119288614;Sappho fr. 40 Voigt;40
http://www.wikidata.org/entity/Q119288637;Sappho fr. 41 Voigt;41
http://www.wikidata.org/entity/Q119288653;Sappho fr. 42 Voigt;42
http://www.wikidata.org/entity/Q119288678;Sappho fr. 43 Voigt;43
http://www.wikidata.org/entity/Q119288700;Sappho fr. 44 Voigt;44
https://www.wikidata.org/wiki/Q119288721;Sappho fr. 44A Voigt;44a
http://www.wikidata.org/entity/Q119288812;Sappho fr. 45 Voigt;45
http://www.wikidata.org/entity/Q119288837;Sappho fr. 46 Voigt;46
http://www.wikidata.org/entity/Q119288858;Sappho fr. 47 Voigt;47
http://www.wikidata.org/entity/Q119288880;Sappho fr. 48 Voigt;48
http://www.wikidata.org/entity/Q119288897;Sappho fr. 49 Voigt;49
http://www.wikidata.org/entity/Q119288918;Sappho fr. 50 Voigt;50
