Autor_in,Interne Autor_in-ID,Author Wikidata ID,Author Sitelinks,Author QRank,Work Count
Georg Biagosch,author_90c06ca4,Q138834314,0,,1
T. Pauly,author_5ab12677,Q138914603,0,,1
Erika Mitterer,author_ea1416c6,Q1354436,3,1760,1
Kathinka Zitz-Halein,author_7af40cab,Q110567,5,2783,1
Ferdinand Schifkorn,author_62c54763,Q83876874,0,29,1
Ida Boy-Ed,author_74d9eceb,Q109471,6,6261,1
Gotthold Friedrich Stäudlin,author_296dd9b2,Q19209149,1,727,1
Ravi Ravendro [= Karl Siegfried Döhring],author_9cc4db92,Q103704,4,2385,1
Toni Schwabe,author_47f9a96b,Q6148787,2,378,2
Therese Rak,author_727e9e25,Q94776472,0,,1
Wilhelm Scheider,author_cb7f347d,Q108306842,0,,1
Ernst Moritz Arndt,author_a98ddea4,Q57351,35,81313,1
August Wilhelm Schlegel,author_48ba1f03,Q57281,48,76430,2
Gottfried Kinkel,author_12bbb2c4,Q68325,15,9016,1
Gerhard Anton Hermann Gramberg,author_4deb50c9,Q1511245,1,97,1
Eduard Mörike,author_c8447c3c,Q63699,38,72981,1
Novalis,author_1d625859,Q60684,73,357870,6
Lara Rüter,author_0820d3ce,Q136985603,1,,1
Georg Christian Braun,author_d16a9318,Q55674452,0,,2
Eugen Stangen,author_e4b9df24,Q94903157,0,,1
Michael Albinus,author_cd16cf95,Q1926767,1,50,2
Therese von Artner,author_31efc428,Q86956,8,1001,2
Franz von Elling [= Karl Müller],author_f8859041,Q4310020,3,144,1
Verena Stauffer,author_12ed70cf,Q66058353,1,1373,8
Philipp Günzel,author_92b8583a,Q138660694,0,,1
Edward Stilgebauer,author_d9d5515b,Q1293771,4,679,1
Johannes Poethen,author_547138e4,Q1698163,1,654,3
Wilhelm von Normann,author_104b735b,Q19917996,1,46,1
Elise Sommer,author_9304ec71,Q1330652,1,168,1
Jürgen Theobaldy,author_a6c5a134,Q125458,5,2147,3
Michael Gratz,author_5a93c737,Q119068466,1,230,1
Felix Hollaender,author_7a234aaa,Q87473,7,2732,1
Carl Eichel,author_dc27326b,Q56101863,1,44,1
Helmut Heißenbüttel,author_0b08fc2e,Q77754,14,6622,1
Beate Petras,author_6d62ff4f,Q131780948,0,,1
Marie Luise Kaschnitz,author_ad13c2e1,Q62365,25,35016,3
Gabriele Baumberg,author_8a1a3a96,Q1486794,3,2035,1
Tami van Dalen [= Tami Dahlheim],author_8d60dbcb,Q120165473,0,,1
Hans Arnfrid Astel,author_fc1094bb,Q693477,1,2453,13
Balduin,author_013a094f,Q138896196,0,,1
Jean Paul,author_d6da3022,Q77079,42,188911,1
Alma Leschivo,author_9201b2fb,Q94752823,0,,2
Wolf von Tainach,author_be909366,Q138793128,0,,1
Caroline von Wolzogen,author_d25d3d67,Q75960,11,16631,2
Jörg Wickram,author_6bcd0402,Q73072,15,3725,1
Louise Brachmann,author_c3b4bc0f,Q103564,6,1670,1
Ernst Georgy [= Margarete Michaelson],author_0400cde1,Q1372193,1,165,1
Karl Seib,author_249f3397,Q138895886,0,,1
Erich Fried,author_b2a5a4c0,Q84393,32,61531,1
Gundula Schiffer,author_b2f5ff47,Q108407156,1,368,1
Fritz Reuter,author_b8ba5902,Q76492,25,42305,2
Ernst Raupach,author_053c1ca2,Q67961,10,3453,1
Frieda Paris,author_4d40aa43,Q130239921,1,,1
Jascha Dhal,author_d58b53d7,Q138795067,0,,1
Joachim Fernau,author_a186641f,Q318335,5,17844,1
Karl August Böttiger,author_7c69b53b,Q213870,9,2890,1
Hans Willmsen L. Rost [= Johann Lauremberg],author_352648f9,Q97596,5,1524,1
Ludwig Achim von Arnim,author_6b97b3e5,Q70988,52,56241,2
Sylvia Treudl,author_3cc08935,Q95196516,0,,8
Friedrich Konrad Müller von der Werra,author_317190dd,Q92222,7,614,1
Johann Gottfried Herder,author_4a193880,Q155547,68,330079,3
Peter Rühmkorf,author_bbd2f350,Q67921,15,15708,1
Max Sidow,author_20619122,Q1518650,1,233,1
Julius Stinde,author_3e63e21f,Q215090,9,2695,1
Ewald von Kleist,author_e375d59c,Q213747,18,9829,3
Ottilie Schenk,author_41f6be4f,Q95186926,0,,1
Karl Friedrich Kretschmann,author_b957c79d,Q90925,5,527,1
Thomas Murner,author_1fd03437,Q65378,15,8284,1
Willy Möbus,author_480cb744,Q94876834,0,,1
Christa Reinig,author_19def99f,Q90577,9,5134,2
Caroline Rudolphi,author_3bf06e59,Q1044547,5,1430,1
Johann Peter Titz,author_f00cdfeb,Q1695812,1,225,1
Artur Nickel,author_f4cc52d6,Q95312462,0,,1
Max Baitinger,author_9ce6f7ee,Q57261145,1,639,1
Karl Friedrich von Gerok,author_d6ec6ac3,Q111367,10,4308,1
Harald Hartung,author_4d89894e,Q1584527,1,1014,3
Bianka Hadler,author_c70afc2e,Q136865646,0,,1
Kerstin Becker,author_546deade,Q18022028,2,1033,3
Kerstin Hensel,author_7333a3cd,Q1287906,2,6530,1
Paul Oskar Höcker,author_bf6d8c80,Q103673,7,1733,1
Alexander Moszkowski,author_80e4b80a,Q91288,10,5681,2
Karl Woltmann,author_b4b4af98,Q92378,4,505,1
Oskar Pastior,author_59ec15eb,Q72365,17,13197,1
Anton Prokesch von Osten,author_7815ab06,Q84618,11,6758,2
Bruno Hillebrand,author_4052161e,Q993338,1,671,1
Ahasverus Fritsch,author_9bf8b65c,Q85638,7,2066,1
Albrecht von Haller,author_b2d380cf,Q123225,35,36452,1
Eugenie Marlitt,author_f468f7e6,Q62950,19,15552,1
Bernd Weiden,author_07b90eb1,Q138834623,0,,1
Franz Carl Endres,author_0cee5f5b,Q215496,2,1249,1
Moritz von Strachwitz,author_9634eedf,Q96416,5,991,1
Christoph Martin Wieland,author_7ea2d8de,Q154010,45,109806,6
A. Haupt,author_a8b72e6a,Q138867546,0,,1
Thomas Kling,author_b555e2fa,Q78220,8,5494,1
Friedrich Gottlieb Klopstock,author_1537cf6e,Q154367,43,78443,7
Inge Müller,author_9de2c173,Q75236,8,8524,2
[Pseudonym:] Sappho,author_8ca253a9,Q138868010,0,,1
Benjamin Neukirch,author_322de61d,Q106309,4,743,1
Andreas Bülhoff,author_b7c003bo,Q136969377,0,,1
Peter Rosegger,author_5b14047f,Q93841,26,59013,1
Traute Bühler-Kistenberger,author_9fbed8ef,Q95205036,0,,1
Alma Johanna Koenig,author_d4f2ce92,Q2649555,3,3433,1
Daniel Wilhelm Triller,author_5713be4b,Q1162958,1,608,1
Barbara Köhler,author_8c390adb,Q125511,6,3918,2
Theodor Lebrecht Pitschel,author_3fcd9826,Q72938073,0,,1
Björn Kaltenbach,author_b3cde7ee,Q95216976,0,,1
Rainer Maria Rilke,author_46e646b5,Q76483,85,1138483,4
Johannes Scherr,author_96590f1e,Q67502,12,4114,1
Käthe H. Fleckenstein,author_39519faa,Q95194437,0,,1
Friedrich Nicolai,author_ea8781b9,Q215853,21,16489,1
W. Egbert [= Ferdinande Grieben],author_a2000df4,Q88371647,1,41,1
Alexander Gumz,author_33aa35e7,Q2642220,1,546,1
Walter Höllerer,author_89573fb9,Q106602,7,5318,1
Walter Kempowski,author_49a8c79a,Q61408,19,55308,1
Johann Möser,author_05c379b4,Q43799,2,254,1
Willibald Alexis,author_1c589986,Q77312,21,10867,1
Heinrich Ernst Pöschl,author_a1af1a8c,Q138896075,0,,1
Georg Britting,author_e68bfecf,Q90115,5,7702,7
Friedrich Georg Jünger,author_a8ee8870,Q67405,13,30968,1
Birgit Kreipe,author_02f41294,Q15788744,1,769,1
Johannes Rüber,author_ec557a00,Q1698290,1,242,1
Andreas Bythner,author_fce3757f,Q137392028,0,,1
Rose Ausländer,author_cc996ae4,Q60873,32,45801,1
Eva Christina Zeller,author_85ea27b0,Q1379152,1,937,1
Franz Fühmann,author_d398349f,Q73102,16,17394,1
Christoph Georg Rohrbach,author_aed70136,Q117450190,1,714,1
Susanne von Bandemer,author_90ad82b4,Q2369590,1,323,1
Otto Erich Hartleben,author_59b37975,Q76279,9,5163,1
Fritz Rudolf Fries,author_e3ab9dd0,Q105026,9,3310,1
Ingeborg Bachmann,author_cbcfb9fa,Q78506,49,561356,1
Käthe Braun-Prager,author_2838152e,Q1795520,2,340,1
Hans Carl Artmann,author_f338c317,Q45250,23,18256,1
Richard Dehmel,author_9c90a03f,Q76590,24,37617,1
Elisabeth Kulmann,author_35efad91,Q78012,9,10881,2
Elena L. Steinbrecher,author_8d5f4364,Q95201837,0,,1
Gustav Freytag,author_1b1d8a73,Q58811,31,49955,2
Karl May,author_525a826b,Q22714,53,433830,1
Gisbert Haefs,author_bba27650,Q75733,7,10607,1
Matthias Apelles von Löwenstern,author_dbd41688,Q990515,7,1284,1
Johann Christian Günther,author_d52e4b5b,Q64642,19,7603,2
Fr. Rotter,author_688d152d,Q138914759,0,,1
Sixt Birck,author_b0f9b07f,Q77979,5,854,3
Steffen Popp,author_d0204d33,Q107113,4,2322,1
Walter Hogarth,author_9fdee6ae,Q138865856,0,,1
Johann Georg Jacobi,author_659f5f08,Q68209,14,5761,2
Apollonius August von Maltitz,author_fcd37174,Q4780410,4,703,1
Johann Wilhelm Ludwig Gleim,author_c418e31d,Q64364,18,11589,4
Lebrecht Gotthilf Förster,author_05bbc90a,Q55849978,0,,1
Manfred Kyber,author_b6223d75,Q115335,2,5621,1
Martin Mylius,author_33727565,Q55676250,1,117,2
Christoph Kuffner,author_e2b027df,Q1085363,4,1154,1
Hans Flach,author_6fd5058e,Q1333149,1,249,1
H. Steinbach [= Hedwig Müller],author_a3810329,Q138881623,0,,1
Freiherr von Baillou,author_97660a23,Q12806303,2,11,1
Ursula Zoege von Manteuffel,author_71cadc01,Q111443487,1,168,1
Johann Heermann,author_012dbb67,Q65603,13,4171,2
Hermione von Preuschen,author_49118653,Q1613618,6,2326,6
Bettina von Arnim,author_41ec22f4,Q57236,45,104252,2
Christian Steinbacher,author_8328fab0,Q1081994,1,840,2
Emanuel Geibel,author_361addef,Q77333,23,25977,5
Jakob Michael Reinhold Lenz,author_1c326fef,Q76417,30,39808,2
Rike Scheffler,author_1e2cbf77,Q113139216,1,1029,1
Karl-Georg Hemmerich,author_3981a222,Q1729772,1,173,2
Walther von Hollander,author_90f115c3,Q1616540,5,3884,1
Christoph Kaldenbach,author_1f254435,Q1451332,2,316,1
Karl Bleibtreu,author_d1509f6c,Q95194,10,4025,1
Arno Holz,author_bf6f469d,Q64404,23,23454,1
Irene Seydlitz,author_da7ab3c4,Q138795462,0,,1
Joseph Victor von Scheffel,author_5692b9c2,Q9082,19,25933,1
Justus Friedrich Wilhelm Zachariae,author_d4eead4e,Q75169,7,1346,4
Johann Heinrich Jung-Stilling,author_ae973934,Q215845,12,14249,1
Franziska von Kapff-Essenther,author_94014daa,Q1383245,2,418,2
Generaloberst von Beselen,author_9937a634,Q138867927,0,,1
Sebastian Brant,author_e6e3afa5,Q60351,39,37330,1
Anja Kampmann,author_1ec001c4,Q19834645,3,3397,3
Siegfried Obermeier,author_f917bb57,Q100877,6,2477,1
Christian Fürchtegott Gellert,author_04680faf,Q60584,32,35767,1
Rudolf Bayr,author_eed4609b,Q2172395,3,597,2
Ludwig Gotthard Kosegarten,author_7b93a308,Q71484,11,5672,2
Christian Schubart,author_4d2b85d3,Q61251,21,31702,1
